TIC ID	ExoFOP-TESS	Sectors	Epoch	Period	Duration	Depth	Depth	Rtranister	Rstar	Tmag	Delta Tmag	Group Disposition	Reason for Group Disposition	Group Comments	Disposition (VK)	Comments (VK)	Disposition (LC)	Comments (LC)	Disposition (HDL)	Comments (HDL)	Disposition (MZDF)	Comments (MZDF)	Disposition (Julien)	Comments (Julien)	Disposition (JY)	Comments (JY)	Disposition (AF)	Comments (AF)	Disposition(MAC)	Comments(MAC)	Disposition(RI)	Comments(RI)	Disposition(FG)	Comments(FG)	Disposition(MH)	Comments(MH)
1003831	https://exofop.ipac.caltech.edu/tess/target.php?id=1003831	8	2458518.203	1.651142	0.76	3007	0.30	0.49	0.98	10.6701	6.30				PC	pVshape			CP (exofop)	SPC, our pdf graph looks off in the scale	CP	TOI-564 b			PC										CP	TOI-564 b 
1103432	https://exofop.ipac.caltech.edu/tess/target.php?id=1103432	8	2458519.87	3.727891	3.87	17864	1.79	1.66	1.34	12.8283	4.37	PC	pTD, pVshape, FSCP, pSS		PC	pVshape, pTD, FSCP, 	pFP	pTD, pVshape	pFP	FSCP	PC	FSCP	pFP	FSCP, pCO	pFP	FSCP, pSS									PC	PTD
1129033	https://exofop.ipac.caltech.edu/tess/target.php?id=1129033	4	2458410.985	1.360025	2.16	16381	1.64	1.09	0.95	9.62713	4.46				PC		CP	WASP-77 A b	CP (exofop)	WASP-77Ab in SIMBAD, 32 LC in TRESCA	CP	WASP-77 A b	CP	WASP 77A b, Files not ready sector 14 in Gdrive	PC	FSCP							CP	WASP-77ab	CP	WASP,pPTD, short-p
1133072	https://exofop.ipac.caltech.edu/tess/target.php?id=1133072	8	2458517.532	0.846542	2.41	2525	0.25	0.15	0.33	12.625	6.49	pFP	low SNR, UC, FSOP, check pixels, LCMOD, short-P		PC	UC	FP	CO, low SNR, pSS	pFP	low SNR	pFP	low SNR, pEB, FSCP	pFP	V shaped	FP	FSCP, CO							FP	CO,pSS	noPDF	noPDF
1449640	https://exofop.ipac.caltech.edu/tess/target.php?id=1449640	5	2458440.434	3.50175	3.80	14123	1.41	1.98	1.70	11.921	4.63	FP	SS		FP	SS	FP	SS, pTD	pFP	pSS, nothing in Vizier or VSX about variability	pFP	pTD,  pSS, pEB, 	pFP	pSS	FP	SS at 0.5							FP	SS,pTD	FP	pTD,SS
1528696	https://exofop.ipac.caltech.edu/tess/target.php?id=1528696	5	2458438.406	0.88202	0.58	9750	0.98	1.50	0.78	13.1686	5.03				PC	pVshape	CP	NGTS-6b	CP (exofop)	NGTS-6b in SIMBAD	CP 	NGTS-6 b, pVshape, 	CP	NGTS 6 b	PC	FSCP							CP	NGTS-6b	CP	NGTS-6 b, low SNR
2758565	https://exofop.ipac.caltech.edu/tess/target.php?id=2758565	2	2458356.031	3.78192	2.04	15390	1.54	2.35	1.17	12.3611	4.53				pFP	pSS,TD	pFP	pFP,pBEER	pFP	pSS, nothing in Vizier or VSX about variability	pFP	On the boundary for FSCP	pFP	pSS 0 5	PC	FSOP							FP	pBEER	FP	pSS
4616072	https://exofop.ipac.caltech.edu/tess/target.php?id=4616072	6	2458469.062	4.18599	2.85	12942	1.29	1.70	1.56	12.8893	4.72				PC	period slightly off?	CP	HATS-45 b	CP  	HATS-45 b, SCP, TCP	CP	HATS-45 b	CP	HATS 45	PC	FSCP							CP	HATS-45b	CP	HATS-45b
4646810	https://exofop.ipac.caltech.edu/tess/target.php?id=4646810	4	2458416.346	14.490034	1.59	905	0.09	0.23	0.78	8.8723	7.61				PC		PC				FFI: LCMOD, 2 min: PC	Bad Folding, Good Difference Image, Master Priority 1 on ExoFOP.	PC	Wing shape on individual transits graphics, looks genuine. Only 2min files are readable. 	PC								PC		noPDF	noPDF
4897275	https://exofop.ipac.caltech.edu/tess/target.php?id=4897275	21	2458872.341	16.710042	5.40	615	0.06	0.24	1.09	7.6474	8.03				PC		PC				PC	HPMS, Fla (FFI), 	PC		PC								PC		noPDF	noPDF
5109298	https://exofop.ipac.caltech.edu/tess/target.php?id=5109298	7	2458491.797	1.6221	2.43	2310	0.23	0.94	2.22	10.6698	6.59	FP	Vshape, CO		FP	Vshape	FP	FSCP, LCMod, CO			pFP	pCO, Vshape	pFP	V-shaped, pSS, pCO, FSCP	FP	FSCP, CO, OED, pVshape							FP	FSCP,LCMOD,CO,pSS	pFP	FSCP, CO
5772442	https://exofop.ipac.caltech.edu/tess/target.php?id=5772442	7	2458492.502	1.10578	1.87	673	0.07	0.67	2.62	10.351	7.93	pFP	lowSNR, NT		pFP	NT	pFP	NT in FFI			FP				FP	Low SNR, FSCP, pSS 	, SS						FP	NT, Low SNR	FP	Low SNR
5868998	https://exofop.ipac.caltech.edu/tess/target.php?id=5868998	10	2458569.934	0.63554	1.26	51165	5.12	1.28	0.44	13.9372	3.23				PC	pVshape	FP	FSCP, TD			pFP	CRITICAL FSCP, pEB, TD, Vshape			PC	FSCP							FP	TD,FSCP	noPDF	noPDF
6663331	https://exofop.ipac.caltech.edu/tess/target.php?id=6663331	13	2458656.633	3.180362	2.11	21192	2.12	1.20	0.92	13.2887	4.18				PC		CP	HATS-28 b			CP	HATS-28 b			PC	FSCP							CP	HATS-28b	CP	HATS-28b
7088246	https://exofop.ipac.caltech.edu/tess/target.php?id=7088246	13	2458654.348	2.160344	1.83	19358	1.94	2.01	1.20	13.2851	4.28				PC	pVshape	CP	HATS-23 b			CP	HATS-23 b			PC	FSCP							CP	HATS-23b	CP	HATS-23b 
7413227	https://exofop.ipac.caltech.edu/tess/target.php?id=7413227	11	2458601.233	3.41616	1.51	2490	0.25	1.09	2.19	9.46381	6.51				PC	LCMOD	pFP	FSCP, pCO, LCMOD			PC	Variable, TFP, FSCP			PC	FSCP							pFP	Low SNR,FSCP,pSS	pFP	Low SNR
7561203	https://exofop.ipac.caltech.edu/tess/target.php?id=7561203	7	2458491.883	2.48454	1.63	1190	0.12	0.69	2.13	10.1137	7.31	pFP	FSCP, lowSNR, NT, variability, try detrending		PC	LowSNR		make 2min results			pFP	Variable, FSCP, Low SNR	pFP	Run 2min, Low SNR, FSCP	pFP	FSCP,  Low SNR							pFP	Low SNR,FSCP	pFP	Low SNR
